network,siteID,siteName,status,startDate,stopDate,county,state,latitude,longitude,elevation,stateName,siteClass
NTN,MI48,Seney National Wildlife Refuge-Headquarters,A,11/28/00,,Schoolcraft,MI,46.2889,-85.9504,220,Michigan,I
NTN,MI51,Unionville,A,1/26/99,,Tuscola,MI,43.6135,-83.3599,201,Michigan,R
NTN,MI53,Wellston,A,10/10/78,,Wexford,MI,44.2242,-85.8186,292,Michigan,I
NTN,MI94,Riverside,A,11/16/21,,Chippewa,MI,46.464,-84.303,307,Michigan, 
NTN,MI99,Chassell,A,2/15/83,,Houghton,MI,47.1046,-88.5516,296,Michigan,R
NTN,MN01,Cedar Creek,A,12/31/96,,Anoka,MN,45.4017,-93.2031,280,Minnesota,R
NTN,MN08,Hovland,A,12/31/96,,Cook,MN,47.8471,-89.965,224,Minnesota,I
NTN,MN18,Fernberg,A,11/18/80,,Lake,MN,47.9464,-91.4961,524,Minnesota,I
NTN,MN32,Voyageurs National Park-Sullivan Bay,A,5/30/00,,St. Louis,MN,48.4132,-92.8305,421,Minnesota,I
NTN,MN99,Wolf Ridge,A,12/31/96,,Lake,MN,47.3841,-91.2067,361,Minnesota,I
NTN,MS12,Grand Bay NERR,A,3/9/10,,Jackson,MS,30.4294,-88.4277,2,Mississippi,R
NTN,MS30,Coffeeville,A,7/17/84,,Yalobusha,MS,34.0025,-89.7993,134,Mississippi,I
TN,MT05,Glacier National Park-Fire Weather Station,A,6/3/80,,Flathead,MT,48.5102,-113.997,964,Montana,I
NTN,NC25,Coweeta,A,7/5/78,,Macon,NC,35.0605,-83.4305,686,North Carolina,R
NTN,NC30,Duke Forest,A,3/3/20,,Orange,NC,35.9709,-79.0933,174,North Carolina,S
NTN,NC34,Piedmont Research Station,A,10/17/78,,Rowan,NC,35.697,-80.6225,219,North Carolina,R
NTN,NC35,Clinton Crops Research Station,A,10/24/78,,Sampson,NC,35.0258,-78.2783,41,North Carolina,R
NTN,NC36,Jordan Creek,A,10/18/83,,Scotland,NC,34.9705,-79.5281,132,North Carolina,R
NTN,NC41,Finley Farm,A,10/3/78,,Wake,NC,35.7283,-78.6789,120,North Carolina,U
NTN,NC45,Mt. Mitchell,A,11/26/85,,Yancey,NC,35.7353,-82.2861,1987,North Carolina,R
NTN,NH02,Hubbard Brook,A,7/25/78,,Grafton,NH,43.9433,-71.7029,250,New Hampshire,R
NTN,NJ00,Edwin B. Forsythe National Wildlife Refuge,A,10/13/98,,Atlantic,NJ,39.4728,-74.4369,2,New Jersey,S
NTN,NJ39,Cattus Island County Park,A,12/4/12,,Ocean,NJ,39.9894,-74.1344,1,New Jersey,U
NTN,NJ99,Washington Crossing,A,8/4/81,,Mercer,NJ,40.3154,-74.8536,72,New Jersey,U
NTN,NM07,Bandelier National Monument,A,6/22/82,,Los Alamos,NM,35.7788,-106.266,1997,New Mexico,R
NTN,NM08,Mayhill,A,1/24/84,,Otero,NM,32.9096,-105.471,2022,New Mexico,I
NTN,NV05,Great Basin National Park-Lehman Caves,A,1/15/85,,White Pine,NV,39.0054,-114.217,2066,Nevada,I
NTN,NY01,Alfred,A,8/17/04,,Allegany,NY,42.2276,-77.8016,697,New York,R
NTN,NY06,Bronx,A,1/22/13,,Bronx,NY,40.868,-73.8782,68,New York,U
NTN,NY08,Aurora Research Farm,A,4/17/79,,Cayuga,NY,42.7339,-76.6597,249,New York,R
NTN,NY10,Chautauqua,A,6/10/80,,Chautauqua,NY,42.2994,-79.3964,488,New York,R
NTN,NY20,Huntington Wildlife,A,10/31/78,,Essex,NY,43.9731,-74.2231,500,New York,I
NTN,NY22,Akwesasne Mohawk-Fort Covington,A,8/18/99,,Franklin,NY,44.9226,-74.4806,70,New York,R
NTN,NY28,Piseco Lake,A,12/31/12,,Hamilton,NY,43.4336,-74.5002,519,New York,I
NTN,NY43,Rochester,A,4/30/13,,Monroe,NY,43.1463,-77.5482,136,New York,U
NTN,NY67,Ithaca,A,1/2/18,,Tompkins,NY,42.4014,-76.6589,503,New York,R
NTN,NY68,Biscuit Brook,A,10/11/83,,Ulster,NY,41.9936,-74.5031,634,New York,I
NTN,NY92,Amherst,A,10/29/13,,Erie,NY,42.9931,-78.7717,183,New York,U
NTN,NY93,Paul Smith's,A,1/1/13,12/31/23,Franklin,NY,44.434,-74.246,498,New York,R
NTN,NY96,Cedar Beach-Southold,A,11/25/03,,Suffolk,NY,41.0347,-72.3891,1,New York,R
NTN,NY98,Whiteface Mountain,A,7/3/84,,Essex,NY,44.3933,-73.8594,610,New York,I
NTN,NY99,West Point,A,9/13/83,,Orange,NY,41.3511,-74.0484,211,New York,S
NTN,OH17,Delaware,A,10/3/78,,Delaware,OH,40.3555,-83.0661,285,Ohio,R
NTN,OH49,Caldwell,A,9/26/78,,Noble,OH,39.7928,-81.5311,276,Ohio,R
NTN,OH71,Wooster,A,9/26/78,,Wayne,OH,40.7813,-81.9197,308,Ohio,R
NTN,OK00,Salt Plains National Wildlife Refuge,A,12/13/83,,Alfalfa,OK,36.7863,-98.18,344,Oklahoma,I
NTN,OR10,H. J. Andrews Experimental Forest,A,5/13/80,,Lane,OR,44.2118,-122.256,443,Oregon,I
NTN,OR18,Starkey Experimental Forest,A,3/6/84,,Union,OR,45.2247,-118.513,1254,Oregon,I
NTN,OR97,Hyslop Farm,A,4/26/83,,Benton,OR,44.6347,-123.19,69,Oregon,S
NTN,PA00,Arendtsville,A,1/26/99,,Adams,PA,39.9231,-77.3078,269,Pennsylvania,R
NTN,PA13,Allegheny Portage Railroad National Historic Site,A,7/26/11,,Cambria,PA,40.457,-78.56,739,Pennsylvania,S
NTN,PA15,Penn State,A,6/7/83,,Centre,PA,40.7883,-77.9458,393,Pennsylvania,S
NTN,PA42,Leading Ridge,A,4/25/79,,Huntingdon,PA,40.6575,-77.9397,287,Pennsylvania,R
NTN,SC05,Cape Romain National Wildlife Refuge,A,11/21/00,,Charleston,SC,32.943,-79.6592,1,South Carolina,R
NTN,TN04,Speedwell,A,1/26/99,,Claiborne,TN,36.4698,-83.8272,384,Tennessee,R
NTN,TN11,Great Smoky Mountains National Park-Elkmont,A,8/12/80,,Sevier,TN,35.6645,-83.5903,640,Tennessee,R
NTN,TN14,Hatchie National Wildlife Refuge,A,10/2/84,,Haywood,TN,35.4988,-89.2611,117,Tennessee,R
NTN,TX16,Sonora,A,6/26/84,,Edwards,TX,30.2613,-100.5551,696,Texas,I
NTN,TX22,Guadalupe Mountains National Park Frijole Ranger Station,A,6/5/84,,Culberson,TX,31.9069,-104.805,1705,Texas,I
NTN,TX43,Ca��nceta,A,7/24/07,,Randall,TX,34.88,-101.665,1057,Texas,I
NTN,TX56,L.B.J. National Grasslands,A,9/20/83,,Wise,TX,33.3917,-97.6397,312,Texas,I
NTN,UT01,Logan,A,12/6/83,,Cache,UT,41.6661,-111.8914,1370,Utah,S
NTN,UT98,Green River,A,4/25/85,,Emery,UT,39.0001,-110.174,1256,Utah,I
NTN,UT99,Bryce Canyon National Park-Repeater Hill,A,1/29/85,,Garfield,UT,37.6186,-112.1728,2477,Utah,I
NTN,VA00,Charlottesville,A,10/2/84,,Albemarle,VA,38.0402,-78.5427,172,Virginia,S
NTN,VA13,Blue Grass Trail,A,7/25/78,,Giles,VA,37.3232,-80.4572,652,Virginia,R
NTN,VA24,Prince Edward,A,1/26/99,,Prince Edward,VA,37.1652,-78.3073,150,Virginia,R
NTN,VA28,Shenandoah National Park-Big Meadows,A,5/12/81,,Madison,VA,38.5231,-78.4348,1072,Virginia,R
NTN,VA99,Natural Bridge Station,A,7/2/02,,Rockbridge,VA,37.6265,-79.5126,282,Virginia,R
NTN,VT01,Bennington,A,4/28/81,,Bennington,VT,42.8761,-73.1633,305,Vermont,R
NTN,VT99,Underhill,A,6/12/84,,Chittenden,VT,44.5283,-72.8684,399,Vermont,R
NTN,WA24,Palouse Conservation Farm,A,8/20/85,,Whitman,WA,46.7606,-117.1847,766,Washington,R
NTN,WA98,Columbia River Gorge,A,5/7/02,,Skamania,WA,45.5694,-122.21,233,Washington,R
NTN,WI06,UW Arboretum,A,2/11/19,,Dane,WI,43.041,-89.428,265,Wisconsin,U
NTN,WI10,Potawatomi,A,6/7/05,,Forest,WI,45.5648,-88.8083,570,Wisconsin,I
NTN,WI31,Devil's Lake,A,1/7/14,,Sauk,WI,43.4352,-89.6801,389,Wisconsin,R
NTN,WI35,Perkinstown,A,1/26/99,,Taylor,WI,45.2064,-90.5978,472,Wisconsin,I
NTN,WI36,Trout Lake,A,1/22/80,,Vilas,WI,46.0512,-89.6541,509,Wisconsin,I
NTN,WI37,Spooner,A,6/3/80,,Washburn,WI,45.8228,-91.8744,331,Wisconsin,R
NTN,WV04,Babcock State Park,A,9/6/83,,Fayette,WV,37.9796,-80.9525,753,West Virginia,R
NTN,WV18,Parsons,A,7/5/78,,Tucker,WV,39.0897,-79.6622,505,West Virginia,I
NTN,WY00,Snowy Range,A,4/22/86,,Albany,WY,41.3762,-106.26,3269,Wyoming,I
NTN,WY02,Sinks Canyon,A,8/21/84,,Fremont,WY,42.7336,-108.8498,2164,Wyoming,I
NTN,WY06,Pinedale,A,1/26/82,,Sublette,WY,42.929,-109.7875,2388,Wyoming,I
NTN,WY94,Grand Tetons National Park,A,9/27/11,,Teton,WY,43.8333,-110.7008,2105,Wyoming,I
NTN,WY95,Brooklyn Lake,A,9/22/92,,Albany,WY,41.3647,-106.2408,3181,Wyoming,I
NTN,WY97,South Pass City,A,4/30/85,,Fremont,WY,42.4944,-108.832,2524,Wyoming,I
